date,comment,recommend_count,unrecommend_count,reply_count
2024.06.30. 07:24,가격 낮추고 유통구조 축소하는게 필요함,0,0,0
2024.06.30. 07:23,리복의 길을 따라가는 중,0,0,0
2024.06.30. 07:17,나이키도 정신 좀 차려야지 너무 타성에 젖어서 명성에만 의지하고 요즘 트렌드를 연구 를 안하더라 미국도 스포츠 스타가 이젠 사라졌음 골프도 내가 미국에 있을 때도 사양산업이였고 노인네들 스포츠에 가까워서 타이거우즈도 늙은이들이 추앙하더라 타 브랜드가 거물 스타 앞세운 마케팅 대신 MZ 세대 트렌드에 맞춰 에질런트하게 상품 개발 잘하는데 나이키는 너무 올드하게 항공모함식 경영으로 점점 경쟁력이 떨어짐 경영 전략 자체가 올드해졌음,0,0,0
2024.06.30. 07:13,그래 요새는 크록스지~~~,0,0,0
2024.06.30. 07:12,신발은 옛날 흰고무신,0,0,0
2024.06.30. 07:12,슬리퍼는 나이키가 짱임,0,0,0
2024.06.30. 07:09,걸을 때 발에 착착 달라붙는건 그래도 이 신발밖에 없더라 다른 건 사고 다 버렸다. 그렇게 많이 여러 가지 메이커 사봤는데도.. 다만 이 신발은 반드시 한 치수 위로 사야 된다.,0,0,0
2024.06.30. 07:07,내 주변도르들은 매출이 답을 알려주는데도 눈귀 다 막고 나이키 빨고있네. 에휴..,0,0,0
2024.06.30. 07:03,난 호카,0,0,0
2024.06.30. 07:03,운동화는 편해야 한다라는 기본을 무시한 나이키. 필패,0,0,0
2024.06.30. 06:58,나이키 맛간지 오래 됐다.,0,0,0
2024.06.30. 06:57,난 리복,0,0,0
2024.06.30. 06:43,나이키 코카콜라 걱정은 하지마라.,0,0,0
2024.06.30. 06:36,개별루,0,0,0
2024.06.30. 06:36,디자인과 편안함을 보고 사야지 브랜드만 보고 사는 관종들 많음.,0,0,0
2024.06.30. 06:28,재생 플라스틱으로 옷 만드니 품질이 떨어진건 사실이지,0,0,0
2024.06.30. 06:26,나이키 한국인체형에 안맞는신발 볼좁고 선택의 여지도 없는신발 이런신발 신으면 발 다망가진다,0,0,0
2024.06.30. 06:05,"품질, 디자인 다 별로가 되었지. 특정 제품 몇개 제외하고는 군인, 아재들 브랜드 됨.",0,0,0
2024.06.30. 05:52,"남의 나라 브랜드 걱정도,,,참....",0,0,0
2024.06.30. 05:16,나이키 최고다 👍 5경원,0,0,0
2024.06.30. 04:50,어릴때 갬성 의리로신음,0,0,0
2024.06.30. 04:48,조던 은퇴하고 나이키도 이름값 못하지디자인도 편안함도... 이젠 맥스도 편하지않다 2011 이후로는 신을만한게 없다는...안타깝다,0,0,0
2024.06.30. 04:32,스케쳐스가 최고다,0,0,0
2024.06.30. 04:01,발이..안편해요ㅠㅠ 속상,0,0,0
2024.06.30. 03:28,다이얼 운동화도 편한데 아직도 끈만고집,0,0,1
2024.06.30. 03:27,뉴발이나 아식스가 편하더라,0,0,0
2024.06.30. 03:09,나이키 베트남 제품,0,0,0
2024.06.30. 03:01,그럴만 해. 잘기나 이키야,0,0,0
2024.06.30. 02:44,신발 디자인 구림. 그렇다고 편한것도 아님. 개뿌리 에어 효과도 없는거 잘찢어지는거 뭐한서 신나,0,0,0
2024.06.30. 02:37,나이키매장 갔는데 옷들은 프린팅 다 거지같이 해놨던데 살게없더라,0,0,0
2024.06.30. 02:22,주가떨어지면 신발가격도 좀 떨어지려나..가격거품좀 빠지자.,0,0,0
2024.06.30. 01:59,아디다스가 추락하더니 이젠 나이키 차례인가..,0,0,0
2024.06.30. 01:58,미국에선 요즘 나이키 안신고 온러닝 많이 신더라...,0,0,0
2024.06.30. 01:58,가격만 비싼 중급 신발.,0,0,0
2024.06.30. 01:54,나이키 발볼 좁아요.,0,0,0
2024.06.30. 01:28,이쁜 브랜드 많이 나와서 나이키 아니어도 편하고 좋은 신발 많지,0,0,0
2024.06.30. 01:25,감성으로 신는 신발. 발이 편하진 않지. 뉴발이나 아식스가 발은 편함.,0,0,0
2024.06.30. 01:15,말슴들 하시는게 나이키는 그냥. 신발브랜드 로 인식들.,0,0,0
2024.06.30. 01:14,난 요즘 뉴발로 갈아탐,0,0,0
2024.06.30. 01:12,요즘도 나이키 신는사람들이 있나;;,0,0,0
2024.06.30. 01:12,나 나이키신는데...근데 요즘 나이키 디자인이 별로가 되어가는건사실ㄹ...,0,0,0
2024.06.30. 01:12,요즘누가 촌스럽게 나이키신냐. 오래전부터 한물갓다,0,0,0
2024.06.30. 01:12,나이키 제품생산을 중국에서 주로 하다보니. 제품은 엉망이고. 가격만 높다보니. 그냥 일반 중저가 브랜드 된지 오래. 트레이닝 복 같은경우. 데상트.같은 일본제품보다 아래.,0,0,0
2024.06.30. 01:05,아식스어때요?,0,0,0
2024.06.30. 00:59,운동화는 뉴발,0,0,0
2024.06.30. 00:59,"스니커 반스, 기능성 언더아머, 가성비 필라 나이키 아디다스는 질림",0,0,0
2024.06.30. 00:57,옛날보다 확실히 디자인이 안예쁜긴한듯발이 작아서 잘맞게 신던게 나이키라 나이키 신발 좋아하는데 요즘은 신을게 잘 없음,0,0,0
2024.06.30. 00:51,운동화는 리복이 짱이다 반박시 니말맞,0,0,0
2024.06.30. 00:46,디자인도 우려 먹고 색깔 장난에 품질은 개차반이라 그냥 나이키라면 믿고 거름,0,0,0
2024.06.30. 00:43,그럼 요즘은 어떤 브랜드 많이 신음? 정말 궁금....,0,0,0
2024.06.30. 00:42,운동화 as도 안되는 나이키;;,0,0,0
2024.06.30. 00:41,나이키 별로다.,0,0,0
2024.06.30. 00:41,"한국 매출이 문제가 아니라 쟤넨 흑인과 라틴계가 주 타겟인데, 웃긴건 저 두 인종은 가난해서 매번 나이키 정품을 살 수 있는 사람이 얼마 안됨",0,0,0
2024.06.30. 00:33,프로스펙스 이하 잡,0,0,0
2024.06.30. 00:23,신발은 그냥 아닥하고 나이키. 뉴발 이런거는 패션신발이지 발썩어가는게 느껴진다,0,0,0
2024.06.30. 00:12,범고래이후 히트작도 없고 온라인 짝퉁 플랫폼으로 인해 가격 거품 무너지고..,0,0,0
2024.06.29. 23:50,내가 발볼이 넓은게 아니엿구나 나이키정도면갠춘,0,0,0
2024.06.29. 23:45,나이키 실적부진은 짭이 너무 많이 팔려서그래 짭만단속 잘하면 실적 떡상함,0,0,0
2024.06.29. 23:40,나이키나 명품브랜드 사지마세요.원가가 10%도 안되는 브랜값만 지불하는거죠,0,0,0
2024.06.29. 23:28,예전에 비싼 에어제품샀다 에어터진사람손!,0,0,0
2024.06.29. 23:28,알파3 많이좀 풀어줘라,0,0,0
2024.06.29. 23:16,Girrare Punjack.,0,0,0
2024.06.29. 23:16,불편함 에어도 보기만 좋지,0,0,0
2024.06.29. 22:52,루무통 한번 신고.. 다른신발 못신겟음. 너무 무거움..,0,0,0
2024.06.29. 22:52,호카신다가 나이키 신으면 고무신신고 걷는느낌,0,0,0
2024.06.29. 22:48,브랜드보고 신는게 어리석은거지. 그냥 브랜드없는거 신어라.,0,0,0
2024.06.29. 22:45,"어릴 땐 개 똥폼 같아서 안 신었는데... 나이먹고 발볼 넓고 푹신한 운동화 찾아다니다가. 다른 브랜드 돌고 돌아서. 백화점에서 신어보고 샀습니다. 여느 신발 브랜드도, 겉멋만 들고 발편한 건 드물어요. 가격도 이미 웬만한 운동화는 10만원대로 담합한 듯 비슷하고요. 나이키매장에서도 자기 발에 맞고 편한 신발 찾을 수 있습니다.",0,0,0
2024.06.29. 22:45,뉴발. 브룩스,0,0,0
2024.06.29. 22:42,나이키는 답답한 경영을 하는 기업임,0,0,0
2024.06.29. 22:40,근데 나이키 말고 뭐 신을게 있나?.....싶다,0,0,0
2024.06.29. 22:38,건물 사이에 피어난 자앙미~,0,0,0
2024.06.29. 22:32,Z세대가 M세대를 분리하며 꼰대취급하기 시작,0,0,0
2024.06.29. 22:29,응 나이키가 최고다,0,0,0
2024.06.29. 22:29,많이 신던데. 줌메보르? 다 그거 신고 다니던데,0,0,0
2024.06.29. 22:19,아재 브랜드라고 불릴만도하지 ㅎㅎ,0,0,0
2024.06.29. 22:16,나이키 데이브레이크 나는 편하던데~,0,0,0
2024.06.29. 22:04,나이키 빨간 운동화 신는데 끈이 매그러워서 5키로 거리 걸으면 끈이 3번은 풀림..진짜 엄청 불편함 .쿠션은 좋은데 이런거 좀 개선해라..,0,0,0
2024.06.29. 22:01,뭐 나이키 아디다스 아닌가. 필수품..뉴발도 신고. 보통 3개정도로 돌려신어줘야....,0,0,0
2024.06.29. 21:54,나는 이럴때 더삼 주식,0,0,0
2024.06.29. 21:46,뉴발♡,0,0,0
2024.06.29. 21:36,러닝은 아디다스 보스턴 12 전천후 물집듀 안잡힘 20키로 장거리 유용 수퍼 트레이너,0,0,0
2024.06.29. 21:36,우리애 조던로우나 덩크로우만 신는데😂발 편하다고 다른건 안신음..... 나이키 정신차려,0,0,0
2024.06.29. 21:35,신발은 뉴발이지,0,0,1
2024.06.29. 21:31,그간 마이해묵었다 잘가라,0,0,0
2024.06.29. 21:29,나이키 잘나갈 때 고급화전략 갔어야지. 잘팔린다고 계속 찍어대니까 망하지.,0,0,0
2024.06.29. 21:28,발이 편한건 뉴발!,0,0,0
2024.06.29. 21:16,나이키 편하고 이쁜데…광고를 잘 안해서 밀리는건가,0,0,1
2024.06.29. 21:14,"초딩들만 봐도 뉴발 위주로 신던데, 뉴발 선택은 누가하나, 그 부모가 한다. 부모가 보는 안목 그대로 아이에게 답습될수 있으니 향후 나이키 점유율이 줄어든다는 거 공감.",0,0,0
2024.06.29. 21:13,나이키 = 비싼값 주고 발 불편함을 참고 신었는데 1년도 못가서 어딘가 헤어지거나 망가지는 예쁘고 폼나는 신발,0,0,0
2024.06.29. 21:13,나이키 - 마데인 차이나,0,0,0
2024.06.29. 21:06,"요새는 호카, 살로몬 등 기능성+디자인 프리미엄 운동화들이 많거든",0,0,0
2024.06.29. 21:06,알리 테무 6600원차리 신엇다가 1주일도 안되서 밑창날아감걍 대기업꺼사신으셈,0,0,0
2024.06.29. 20:47,맥스720 겁나 편함.겁나 잘 터지고 ㅋㅋㅋㅋㅋ,0,0,0
2024.06.29. 20:46,"제일 큰건 중국,베드남,인도네시아에서 제작하면서 퀄리티도 떨어지고 디자인도 별로임..그리고 한정판으로 나온게 잘팔리면 더 만들어서 풀어버리니..별로임..",0,0,0
2024.06.29. 20:45,"나이키.....프로스펙스, 퓨마, 아디다스 등 디자인도 고만 고만하고 비싸긴 더럽게 비싸니 누가 사 신니..어차피 1년 정도면 운동화 바꾸는데 굳이?",0,0,0
2024.06.29. 20:43,아디다스 다시 뜨나,0,0,0
2024.06.29. 20:40,나이키는 아시아인들 발하고는 너무 안 맞는다...다른 브랜드 270인데 280사야 겨우 들어감,0,0,0
2024.06.29. 20:38,신발은 프로 스펙스지,0,0,0
2024.06.29. 20:37,나도 발볼이 넓다. 나이키는 불편해.,0,0,0
2024.06.29. 20:37,"나이키 가격, 품질, 교환정책이 개판이라 점점 외면 받고 있는걸 본사측은 인지하지 못하는건지 배째라식임 이런 기업 제품은 안사는게 정답",0,0,0
2024.06.29. 20:36,"번외긴 하지만 나는 나이키, 아디다스 이런 회사들이 친동성애 회사라 불매한다. 말도 안 되는 LGBTQ를 지지하고 우리가 신발 산 돈으로 후원하는 기업.",0,0,0
2024.06.29. 20:32,나이키 이제 한물 갔음,0,0,0
2024.06.29. 20:32,일단 나이키는 디자인이랑 옷질감부터 개구림...동급중저가 브랜드들이 훨이쁘고 옷질감도 좋음..나이키서 사는건 쓰레빠 밖에없었는데 그것도 크록스등에 밀림ㅋㅋ,0,0,0
2024.06.29. 20:21,페가수스가 젤 낫고....내구성이 많이 약해졌음.... 디자인은 아디다스나 나이키나 이상해짐....,0,0,0
2024.06.29. 20:20,중국사람들이 좋아라 신고 다니는 모습 보고 한번 질리고 나이키가 중국 시장 지키려 신장 위구르 문제 중국편 드는거 보고 질리니 나이키가 특별해 보이지 않고 조던도 철지난 중국 스타일 같은 느낌이 들더라 차라리 호카나 뉴발란스 오니즈카타이거 같은거 더 이쁘더라,0,0,0
2024.06.29. 20:18,어느순간 질이 다른 브랜드에 비해 떨어짐..발볼이 너무 적어진 느낌? 그리고 불편함 … zoomx 20만원 넘게 주고 샀는데.. 7만원짜리도 안되보이는 착용감임.,0,0,0
2024.06.29. 20:18,언제적 나이키여? 나락갈때도 됐지? 브랜드가 얼마나 많나?,0,0,0
2024.06.29. 20:17,편하고 좋은 인식이떨어짐..세일할때나 가끔,0,0,0
2024.06.29. 20:15,개돼지들이 많이 신어욧,0,0,0
2024.06.29. 20:10,매장에 있는 옷들이 진짜 살게 없어요. 나이키 로고나 크게 해서 나온 옷들만 있고. 그걸 디자인이라고 하기에도 뭐한....,0,0,0
2024.06.29. 20:08,스포츠스타들 광고료로 막대한 돈을 쓰는데 제품품질에 쓸 돈이 있겠는가??? 품질은 안좋고 가격만 비싸다면 브랜드 이름값으로 제품사는 시대는 지나갔다,0,0,0
2024.06.29. 20:07,NIKE AIR 한마디 마크하나보고 산브랜드지 지금도 여전히 일등기업이고 베스트오브베스트 마이클조던형이 그립다,0,0,0
2024.06.29. 19:55,쓸데없이 비쌈,0,0,0
2024.06.29. 19:54,내 잘 신음.,0,0,0
2024.06.29. 19:53,신발이나 옷이나 품질이 별로임. 그나마 바싼것만 품질이 괜찮음. 디자인은 외계인을 뽑는건지 평범한 디자인은 별로 없음. 짭이 너무 많고 그 짭도 진품이랑 품질이 별반 차이가 없음. 출시가는 졸라게 높고 허구한날 할인만 해댐.,0,0,0
2024.06.29. 19:47,로고빨,0,0,0
2024.06.29. 19:42,돈있으면 신발20만원이상으로 신는거야나이키는 가난한 사람이 신는거야 페가수스 줌 죄다 10만원중반 ㅋㅋ 이제는 호카야 ㅋㅋ,0,0,0
2024.06.29. 19:40,스케처스 고워크가 10만원대다 ㅋ나이키는 매일세일만하더라 ㅋ 호카 살로몬은 20만원 30만원급이더라 없는놈들이나 나이키 신는거야 ㅋㅋ,0,0,0
2024.06.29. 19:36,아시아핏이 없으니 그렇지 불편해,0,0,0
2024.06.29. 19:35,그러네.. 나도 기사보고 신발장보니 나이키 신발이 없넹ㅋㅋ,0,0,0
2024.06.29. 19:34,편한 신발은 아니지~~,0,0,0
2024.06.29. 19:33,나이키는 불편...뉴발이 편함.,0,0,0
2024.06.29. 19:32,단타만하다가 가치투자 하기위해 나이키 장투로 샀더니 하루만에 18프로?,0,0,0
2024.06.29. 19:31,특히 나이키 트레이닝복은 개구림,0,0,0
2024.06.29. 19:28,언제적 나이키냐,0,0,0
2024.06.29. 19:25,호카 브룩스 뉴발이지 ㅋ몬 나이키냐 ㅋㅋ,0,0,1
2024.06.29. 19:22,나이키신발 발뒷꿈치 플라스틱 보호대 안습 뒷굼치 까지고 안편함,0,0,0
2024.06.29. 19:13,나이키는 흑인들이나 신고 다니는 브랜드지,0,0,0
2024.06.29. 18:51,나이키 너무이상하게 변했음 디자이너 누구냐 ㅋ,0,0,0
2024.06.29. 18:48,1.8달러까지 떨어지면 줍줍해야지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0
2024.06.29. 18:42,허접한걸 ㆍ비싸게 ㆍ팔다가 ㆍ폭싹 망한다,0,0,0
2024.06.29. 18:27,"엉아는 나이키 조던 디올, 조던 트레비스 스캇, 조던 사카이만 신는다.",0,0,0
2024.06.29. 18:23,가격만 비쌈!!!!!!! 밑은 빨리 닳고~,0,0,0
2024.06.29. 18:17,이쁘고 편해야지 근데 이쁘기만한걸 너무 많이 만들어 초심을 잃음,0,0,0
2024.06.29. 18:17,나이키 신발 가격대비 품질이 너무 안 좋아 ~,0,0,0
2024.06.29. 18:15,어릴때나 나이키 신었지 지금은 스케쳐스가 편하고 좋더라,0,0,0
2024.06.29. 18:13,20~30년전엔 학생들 최고 브랜드였는데 이젠 입는사람이 없음. 가끔가다 트레이닝복 정도,0,0,0
2024.06.29. 18:07,나이키가 요즘 디자인이 안예쁘게 나오기도했고색상도 별로고,0,0,0
2024.06.29. 18:06,시대 트렌드를 ~~요즘 운동복이나 패션바지가 통이 넓은데 나이키는 신발볼이 좁아서 발도 불편하고 통바지와 어울리지 안음,0,0,0
2024.06.29. 18:04,여자껀.발폭이 작아서남자신발사이즈가 마즘,0,0,0
2024.06.29. 17:57,프로스펙스 편해요.,0,0,0
2024.06.29. 17:50,와..진짜 기사는 믿을게 못되구나.뭐? 나이키가 파리올림픽에 걸고있어? 이런거 보면 왜 개미가 털리는지 알겠다.,0,0,0
2024.06.29. 17:50,요즘 타브랜드도 좋은게 많이나와서 경쟁이 쉽지 않겠지,0,0,0
2024.06.29. 17:48,발아픔 ㅜㅡㄴ,0,0,0
2024.06.29. 17:32,예전 모델들도 디자인은 여전히 괜찮은데 포스 말고 다른 모델들은 발볼이 좁아서 솔직히 편하다는 느낌은 안들어요. 그리고 요새 봄가을겨울은 운동화 신지만 여름에는 그냥 크록스같은 샌들만 신은지 오래되서... 여름되면 운동화 매출이 떨어지는게 당연한게 아닐까 싶기도 하고...,0,0,0
2024.06.29. 17:30,유행하는거보면 확실히 체감 됨. 한때 유행하던 리셀가도 특정 콜라보 빼면 나락이고 요즘 보면 열중에 반은 뉴발란스,0,0,0
2024.06.29. 17:14,이것저것 신어보고 좋은거 사라,0,0,0
2024.06.29. 17:12,나이키. 좋은지 모르겧다,0,0,0
2024.06.29. 17:09,"나이키 해외직구=가품, 이게 안편한 이유. 에어맥스가 30년전 나온 쿠셔닝인데 그걸로 나이키 신어봤다고 하면 안됨. 나이키 쿠셔닝은 넘사벽임. 매출이 후퇴해도 1위는 절대 안뺏기는 이유가 있음.",0,0,0
2024.06.29. 17:05,나이키는 리셀하는 애들이 돈벌이로 사지 요새 누가사ㅋㅋㅋ,0,0,0
2024.06.29. 17:04,나도 나이키만 신는데 ㅋㅋㅋ,0,0,0
2024.06.29. 16:59,조금 인기있다싶은건 극악수량으로 리셀가 붙게하고 시장 자체를망가뜨렸음 한동안 그래도쌈,0,0,0
2024.06.29. 16:54,징그러운 디자인 그나마 요즘은 심플하게 실용적으로 가는듯,0,0,0
2024.06.29. 16:51,난 나이키 중국에서 만들때부터 안신음.ㅋ,0,0,0
2024.06.29. 16:46,요즘 아식스에 꽂힘,0,0,0
2024.06.29. 16:42,비싸기만함...금테도 안둘렀는데 ㅋㅋㅋ,0,0,0
2024.06.29. 16:41,쓸데없이 비싸다,0,0,0
2024.06.29. 16:38,호카 냐 뉴발 다른 업체들의 성장이 뛰어나서,0,0,0
2024.06.29. 16:35,나이키 에어맥스만한게 없다. ㅇ 에어맥스 미만잡,0,0,0
2024.06.29. 16:33,망한듯. 호카가 짱,0,0,0
2024.06.29. 16:30,과거의 영광으로 신는데 미래에도 그럴지는 불투명영원한 1등은 없다,0,0,0
2024.06.29. 16:21,신어본것중 아디다스 뉴발이 젤 편함. 나이키가 젤 불편,0,0,0
2024.06.29. 16:18,대세는 호카로 넘어감,0,0,0
2024.06.29. 16:15,내가.,0,0,0
2024.06.29. 16:13,품질이 확실히 떨어졌음...,0,0,0
2024.06.29. 16:11,40년전엔 나이키였는데. 나는 안신었지만 ㅋㅋ,0,0,0
2024.06.29. 16:06,스캇좀 많이 풀어라 한정판만 주구장창만드니 일반신발을 안사지,0,0,0
2024.06.29. 16:04,..,0,0,0
2024.06.29. 16:03,나 중학교땐 나이키가 최고였는데. 이젠 그냥 중저가브랜드.,0,0,0
2024.06.29. 16:00,나이키 디테일에서 놓침 자세히 보면 접착체가 다보임 뉴발이 신발 디테일이 좋지,0,0,0
2024.06.29. 15:55,그냥 흔한 신발에 비싼 가격일뿐~,0,0,0
2024.06.29. 15:50,옷이고 신발이고 디자인이 점점조잡해지는건 사실이다,0,0,0
2024.06.29. 15:47,알파플라이3 물량좀 풀어라 리셀러보다 못버니까 실적이 안좋지,0,0,0
2024.06.29. 15:46,나이키 좋은데,0,0,0
2024.06.29. 15:45,찐다들은뉴발란스만신어라~~,0,0,0
2024.06.29. 15:42,프로스 펙스도 좋아요.,0,0,0
2024.06.29. 15:41,시장 2만원짜리 신발보다 못함 내구성도 쓰레기고 가격은 최상이고 디자인 개판이고 ... 나이키만의 감성은 1도없음 옛날 나이키가 멋짐,0,0,0
2024.06.29. 15:40,나이키 ㅋㅋㅋㅋㅋㅋ 옛날이나 나이키지 요즘 나이키가 나이키냐 그냥 이름빨이지,0,0,0
2024.06.29. 15:31,짝퉁이 너무 많아서 안 찾게 되더라,0,0,0
2024.06.29. 15:31,비올때 미끄러움,0,0,0
2024.06.29. 15:27,온러닝 최고다,0,0,0
2024.06.29. 15:19,지금의 나이키를 있게 해주고 나이키에서 인정하는 제품은 딱하나 에어포스원. 그 이상 그 이하도 없음. 축구화든 농구화든 스포츠쪽에 그 이상의 제품을 새로 만들어내서 붐 일으키지 않는 이상 주가하향은 정해진일..,0,0,0
2024.06.29. 15:16,나이키 좋은데여.. 왜 ㅜㅜ,0,0,0
2024.06.29. 15:11,신발은 불편하고 옷은 박음질 엉망.... 이제는 돈아까워서 못사겠더라구요... 같은 가격에 다른 질좋은 제품들도 많아요~,0,0,0
2024.06.29. 15:04,그럼 뭐 신어요?,0,0,1
2024.06.29. 15:01,운동할때 말곤 평상시 크록쓰만 신음...일년내내...,0,0,0
2024.06.29. 14:54,예전엔 에어조던....최고였는데..,0,0,0
2024.06.29. 14:51,비싸,0,0,0
2024.06.29. 14:51,그래도 나이트 네임드가 우리때는 최고였다. 까불지마라ㅋㅋㅋ,0,0,0
2024.06.29. 14:50,그럼 뭐신음?,0,0,0
2024.06.29. 14:48,요즘 뉴발 아식스가 인기더만,0,0,0
2024.06.29. 14:34,요즘 연예인들 이용해서 sns따라쟁이들 따라신고 광고하는게 추세라 연예인들 신껴야 돈이됨ㅋㅋ,0,0,0
2024.06.29. 14:30,다 좋은데 이쁘지 않음!,0,0,0
2024.06.29. 14:27,마크가 촌스러움,0,0,0
2024.06.29. 14:25,농구화 나이키 외에 뭐?,0,0,0
2024.06.29. 14:25,40대 아저씨인 나조차 아식스 젤카야노14로 넘어갔어.,0,0,0
2024.06.29. 14:23,나이키 발볼이 너무 좁아서... 불편함... 뉴발란스만 신게됨,0,0,0
2024.06.29. 14:20,나이키보다 폭이 좁은 게 아디다스. 요즘은 뉴발란스가 인기.,0,0,0
2024.06.29. 14:18,언더아머 스케처스 디자인 이쁘던데,0,0,0
2024.06.29. 14:18,신발은 시장표 나이스가 쿨하지,0,0,0
2024.06.29. 14:13,칼발 아니면 나이키 안신지...요즘 기능성 좋은 신발 넘친다,0,0,0
2024.06.29. 14:10,나이와 키는 반비례한다. 나이키~,0,0,0
2024.06.29. 14:07,삼선이이뿌다,0,0,0
2024.06.29. 14:06,나!,0,0,0
2024.06.29. 14:00,이참에 디자인혁명이나 해라 못생겨도 편안하다,0,0,0
2024.06.29. 13:59,딸피브랜드,0,0,0
2024.06.29. 13:55,지금 사야하나,0,0,0
2024.06.29. 13:53,"요즘 편한 쿠셔닝화가 인기다보니 그런것과, 나이키 조던1, 덩크 팔면서 가격인상이 한몫",0,0,0
2024.06.29. 13:53,한국인은 프로스펙스가 짱,0,0,0
2024.06.29. 13:51,ㅋㅋ 중국 때문에 나이키 매출 줄었네 ㅋㅋ 우리나라 나이키 운동화 신다 ㅋㅋㅋ 60퍼이상 ㅋ,0,0,0
2024.06.29. 13:47,나이키 마감 허접해서 별로임. 일상용은 아디다스 아식스 호카 써코니 브룩스까지가 착화감 좋음. 뉴발란스는 약간 별로임..,0,0,0
2024.06.29. 13:46,나이키 요즘 너무 안주하는거 같은 느낌이 들긴함..축구유니폼만 봐도 진짜 디자인 대충하는거같음,0,0,0
2024.06.29. 13:45,나이키 옷 그지같음 진짜 물맨날빠짐,0,0,0
2024.06.29. 13:44,"뉴발, 호카 두가지가 정답인듯",0,0,0
2024.06.29. 13:42,뛰거나 걷는 운동할땐 아식스가 제일 가볍고 편함..사람마다 발이 다르니까 나이키 발볼이 좁아서 불편하긴 한데 한 일주일 신으면 발에 딱 맞춰지는 느낌이라 좋음. 운동화는 아식스랑 나이키만 신는거 같은데..요즘은 안신나보군ㅋ,0,0,0
2024.06.29. 13:41,일단안이쁨...,0,0,0
2024.06.29. 13:40,요즘 내가 나이키 신는다. 물론 아디다스도,0,0,0
2024.06.29. 13:40,호카 좋아서 신는다. 비싸도 오래신고 편함.,0,0,0
2024.06.29. 13:40,나이키의 경쟁자는 닌텐도이다.,0,0,0
2024.06.29. 13:38,발전이 없으니 주가가 떨어짐 매장가도 살게 별로 없고 옷 질도 별로,0,0,0
2024.06.29. 13:38,요즘 헬스하느라 발볼 넓어진 사람 많은데 디자인이 너무 별로임,0,0,0
2024.06.29. 13:35,어머 나이스~,0,0,0
2024.06.29. 13:34,나이키는 서양인들발에 맞게 제작된것이다.한국인들발은 넙적하기 때문에 짚신같은 스타일의 운동화를 만들어야한다,0,0,0
2024.06.29. 13:33,나이키 겁나 불편,0,0,0
2024.06.29. 13:30,요새 나이키 광고봐라 그런 모델이 광고하는데 누가 사고싶겠냐,0,0,0
2024.06.29. 13:28,그냥 이것저것 다 신는거지 정해놓고 신음? 거지임? ㅋ,0,0,0
2024.06.29. 13:27,산지 몇달안됐는데 신발이 터짐..가격은 비싼데 이럴수...ㅠㅡㅠ 발볼 문제인건가.,0,0,0
2024.06.29. 13:24,모델이 그인종 그성별에 거기다 못생겼는데 누가 신고 싶어하겠음?,0,0,0
2024.06.29. 13:12,그래도 나 나이키 좋아한다,0,0,0
2024.06.29. 13:08,나이키 밑창이 좁은 게 많아서 살 때 잘봐야 됨.,0,0,0
2024.06.29. 13:06,아식스 스캐쳐스 개편함,0,0,0
2024.06.29. 13:04,나이키 신발이 요즘 불편해졌어요 다른 회사 제품들이 좋아진건지..뭔가 예전에 비해서 다른 회사 신발들이 편하게 느껴집니다 불편하니 손이 안가고 그러니 구매력도 떨어지는 느낌?저만 그런가요?요즘은 나이키 공홈가입 괜히했나 싶어요,0,0,0
2024.06.29. 13:03,평발인사람은 병원서 나이키 신발 못신게해요. 저희아이도 이뻐서 신고 싶다해서 샀다가 한두번 억지로 신고 못신었네요. 발이 너무 아프고 불편하다하네요. 그만큼 불편한 신발인드쌔요.,0,0,0
2024.06.29. 12:59,나이키 넘비싸. 아디다스 리복 이 훨싸고 질도좋다,0,0,0
2024.06.29. 12:57,"전문가용, 리셀용만 잘만드는 신발회사. 수익성 제로인듯.",0,0,0
2024.06.29. 12:55,솔직히 예전 디자인인 맥스 포스 덩크로 몇십년을 우려 먹었고 이제 질릴때도 됐지,0,0,0
2024.06.29. 12:48,정체되면 망하는거지 항상 저절로 1등인게 어딨나,0,0,0
2024.06.29. 12:46,XXXL가 타사L 사이즈인거머냐,0,0,0
2024.06.29. 12:46,얘들이랑 아디다스랑 뭐가 다른건지사고 싶은게 없던데,0,0,0
2024.06.29. 12:44,나이키 퇴물된지가 언젠데.. 요즘 트렌드에 안맞아,0,0,0
2024.06.29. 12:39,로고하나는 기가 멕히지 그것때문에 선방하는거 아님,0,0,0
2024.06.29. 12:37,신발은 나이키 국룰 아니냐? 40대 아재,0,0,0
2024.06.29. 12:36,OEM 일본신발들 돈 값들 함,0,0,0
2024.06.29. 12:31,덩크 신는데 몇시간 신으면 발 아픔…,0,0,0
2024.06.29. 12:30,조던이 뭐하나 신어야된다,0,0,0
2024.06.29. 12:26,디자인도 별루야.. 뭔가 촌스러움! 아 옛날이야!,0,0,0
2024.06.29. 12:26,나도 나이키♡,0,0,0
2024.06.29. 12:22,가성비가 떨어짐,0,0,0
